year,city,country,avg_temp,moving_avg_10yrs
1997,Long Beach,United States,17.46,16.73909091
1998,Long Beach,United States,16.21,16.74090909
1999,Long Beach,United States,16.18,16.71454545
2000,Long Beach,United States,16.9,16.75090909
2001,Long Beach,United States,16.37,16.72181818
2002,Long Beach,United States,16.37,16.74363636
2003,Long Beach,United States,17.1,16.72272727
2004,Long Beach,United States,16.84,16.72090909
2005,Long Beach,United States,16.93,16.76454545
2006,Long Beach,United States,17.23,16.79909091
2007,Long Beach,United States,16.8,16.76272727
2008,Long Beach,United States,17.21,16.74
2009,Long Beach,United States,17.03,16.81454545
2010,Long Beach,United States,16.19,16.81545455
2011,Long Beach,United States,16.26,16.75727273
2012,Long Beach,United States,17.2,16.83272727
2013,Long Beach,United States,17.18,16.90636364
