year,city,country,avg_temp,moving_avg_10yrs
1963,San Diego,United States,16.2,16.23454545
1964,San Diego,United States,15.54,16.18818182
1965,San Diego,United States,15.73,16.14454545
1966,San Diego,United States,16.21,16.20272727
1967,San Diego,United States,16.21,16.22727273
1968,San Diego,United States,16.27,16.22545455
1969,San Diego,United States,16.18,16.15363636
1970,San Diego,United States,16.36,16.06818182
1971,San Diego,United States,15.58,16
1972,San Diego,United States,16.18,15.99545455
1973,San Diego,United States,15.51,15.99727273
1974,San Diego,United States,15.97,15.97636364
1975,San Diego,United States,15.16,15.94181818
1976,San Diego,United States,16.53,16.01454545
1977,San Diego,United States,16.36,16.02818182
1978,San Diego,United States,16.46,16.05090909
1979,San Diego,United States,16.29,16.05272727
1980,San Diego,United States,16.62,16.09272727
1981,San Diego,United States,17.01,16.15181818
1982,San Diego,United States,15.95,16.18545455
1983,San Diego,United States,16.8,16.24181818
1984,San Diego,United States,17.03,16.38
1985,San Diego,United States,16.13,16.39454545
1986,San Diego,United States,16.59,16.52454545
1987,San Diego,United States,16.19,16.49363636
1988,San Diego,United States,16.47,16.50363636
1989,San Diego,United States,16.5,16.50727273
1990,San Diego,United States,16.69,16.54363636
1991,San Diego,United States,16.13,16.49909091
1992,San Diego,United States,17.33,16.52818182
1993,San Diego,United States,16.86,16.61090909
1994,San Diego,United States,16.45,16.57909091
1995,San Diego,United States,16.85,16.56272727
1996,San Diego,United States,17.2,16.66
1997,San Diego,United States,17.46,16.73909091
1998,San Diego,United States,16.21,16.74090909
1999,San Diego,United States,16.18,16.71454545
2000,San Diego,United States,16.9,16.75090909
2001,San Diego,United States,16.37,16.72181818
2002,San Diego,United States,16.37,16.74363636
2003,San Diego,United States,17.1,16.72272727
2004,San Diego,United States,16.84,16.72090909
2005,San Diego,United States,16.93,16.76454545
2006,San Diego,United States,17.23,16.79909091
2007,San Diego,United States,16.8,16.76272727
2008,San Diego,United States,17.21,16.74
2009,San Diego,United States,17.03,16.81454545
2010,San Diego,United States,16.19,16.81545455
2011,San Diego,United States,16.26,16.75727273
2012,San Diego,United States,17.2,16.83272727
2013,San Diego,United States,17.18,16.90636364
